"","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions"
"","","Report Period","20241231","","Report Period","20240930","","Report Period","20240630","","Report Period","20240331","","Report Period","20231231","","Report Period","20230930","","Report Period","20230630","","Report Period","20230331","","Report Period","20221231","","Report Period","20220930","","Report Period","20220630","","Report Period","20220331","","Report Period","20211231","","Report Period","20210930","","Report Period","20210630","","Report Period","20210331","","Report Period","20201231","","Report Period","20200930","","Report Period","20200630","","Report Period","20200331","","Report Period","20191231","","Report Period","20190930","","Report Period","20190630","","Report Period","20190331","","Report Period","20181231","","Report Period","20180930","","Report Period","20180630","","Report Period","20180331","","Report Period","20171231","","Report Period","20170930","","Report Period","20170630","","Report Period","20170331","","Report Period","20161231","","Report Period","20160930","","Report Period","20160630","","Report Period","20160331","","Report Period","20151231","","Report Period","20150930","","Report Period","20150630","","Report Period","20150331"
"","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD"
"","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$"
"Collection in Domestic Offices","","CHITEM","$77,412,769","","CHITEM","$85,731,915","","CHITEM","$88,012,609","","CHITEM","$75,466,761","","CHITEM","$87,593,852","","CHITEM","$76,138,213","","CHITEM","$73,458,219","","CHITEM","$69,253,804","","CHITEM","$81,609,380","","CHITEM","$66,100,675","","CHITEM","$69,892,882","","CHITEM","$65,566,864","","CHITEM","$47,477,012","","CHITEM","$62,597,575","","CHITEM","$59,997,902","","CHITEM","$57,079,424","","CHITEM","$60,185,313","","CHITEM","$55,838,334","","CHITEM","$59,343,912","","CHITEM","$50,941,059","","CHITEM","$59,204,704","","CHITEM","$78,915,162","","CHITEM","$73,558,420","","CHITEM","$67,491,458","","CHITEM","$70,662,226","","CHITEM","$70,049,034","","CHITEM","$67,254,013","","CHITEM","$53,241,032","","CHITEM","$76,321,849","","CHITEM","$62,011,249","","CHITEM","$65,125,444","","CHITEM","$57,270,165","","CHITEM","$69,890,584","","CHITEM","$62,894,047","","CHITEM","$57,801,045","","CHITEM","$53,416,996","","CHITEM","$57,093,571","","CHITEM","$52,512,066","","CHITEM","$65,277,208","","CHITEM","$63,230,147"
"Currency and Coin in Domestic Offices","","CHCOIN","$79,586,000","","CHCOIN","$68,096,638","","CHCOIN","$71,896,713","","CHCOIN","$67,477,114","","CHCOIN","$76,442,980","","CHCOIN","$67,789,870","","CHCOIN","$74,903,460","","CHCOIN","$75,356,632","","CHCOIN","$78,712,651","","CHCOIN","$71,326,151","","CHCOIN","$80,828,042","","CHCOIN","$80,204,022","","CHCOIN","$82,027,857","","CHCOIN","$80,355,652","","CHCOIN","$83,533,390","","CHCOIN","$88,610,634","","CHCOIN","$90,101,254","","CHCOIN","$82,053,176","","CHCOIN","$83,893,102","","CHCOIN","$91,372,512","","CHCOIN","$76,370,460","","CHCOIN","$63,164,884","","CHCOIN","$65,534,332","","CHCOIN","$63,915,548","","CHCOIN","$75,559,339","","CHCOIN","$62,096,417","","CHCOIN","$64,115,747","","CHCOIN","$62,165,901","","CHCOIN","$72,654,351","","CHCOIN","$62,285,113","","CHCOIN","$66,294,348","","CHCOIN","$63,600,844","","CHCOIN","$71,156,271","","CHCOIN","$60,279,534","","CHCOIN","$68,639,521","","CHCOIN","$65,173,931","","CHCOIN","$68,996,905","","CHCOIN","$62,795,466","","CHCOIN","$63,290,867","","CHCOIN","$62,612,937"
"Balances due from depository institutions in US","","CHUS","$51,407,075","","CHUS","$57,816,004","","CHUS","$62,950,093","","CHUS","$60,622,855","","CHUS","$62,304,161","","CHUS","$53,767,725","","CHUS","$48,539,553","","CHUS","$85,866,477","","CHUS","$65,549,166","","CHUS","$131,953,329","","CHUS","$132,085,109","","CHUS","$126,783,321","","CHUS","$133,314,280","","CHUS","$124,065,987","","CHUS","$120,593,255","","CHUS","$125,899,460","","CHUS","$124,671,873","","CHUS","$124,924,330","","CHUS","$132,160,150","","CHUS","$139,282,085","","CHUS","$122,373,678","","CHUS","$120,432,700","","CHUS","$119,380,596","","CHUS","$163,629,153","","CHUS","$162,802,757","","CHUS","$146,101,919","","CHUS","$138,764,114","","CHUS","$134,295,386","","CHUS","$159,629,441","","CHUS","$142,592,667","","CHUS","$139,960,522","","CHUS","$130,154,762","","CHUS","$141,263,554","","CHUS","$137,950,883","","CHUS","$149,474,208","","CHUS","$144,248,095","","CHUS","$108,712,566","","CHUS","$103,772,000","","CHUS","$111,471,276","","CHUS","$110,212,284"
"Balances due from Foreign Banks","","CHNUS","$586,742,726","","CHNUS","$634,867,628","","CHNUS","$597,063,439","","CHNUS","$601,620,322","","CHNUS","$576,721,576","","CHNUS","$566,415,424","","CHNUS","$601,795,134","","CHNUS","$630,863,908","","CHNUS","$666,602,281","","CHNUS","$640,444,277","","CHNUS","$649,228,959","","CHNUS","$697,236,235","","CHNUS","$659,131,553","","CHNUS","$656,133,876","","CHNUS","$713,221,190","","CHNUS","$693,449,532","","CHNUS","$656,809,887","","CHNUS","$578,569,875","","CHNUS","$575,789,870","","CHNUS","$582,969,869","","CHNUS","$443,449,404","","CHNUS","$464,098,229","","CHNUS","$497,870,854","","CHNUS","$453,449,278","","CHNUS","$442,371,249","","CHNUS","$461,332,502","","CHNUS","$427,147,991","","CHNUS","$430,011,419","","CHNUS","$403,666,701","","CHNUS","$394,207,665","","CHNUS","$368,603,099","","CHNUS","$349,322,629","","CHNUS","$379,291,528","","CHNUS","$353,225,333","","CHNUS","$343,773,266","","CHNUS","$300,743,143","","CHNUS","$287,163,910","","CHNUS","$292,661,128","","CHNUS","$293,561,646","","CHNUS","$268,605,041"
"Balances due from Federal Reserve Board Banks","","CHFRB","$1,758,923,564","","CHFRB","$1,715,337,148","","CHFRB","$1,788,449,822","","CHFRB","$1,992,839,317","","CHFRB","$1,923,849,906","","CHFRB","$1,822,377,155","","CHFRB","$1,788,882,928","","CHFRB","$1,857,105,017","","CHFRB","$1,567,071,635","","CHFRB","$1,643,854,879","","CHFRB","$1,732,850,722","","CHFRB","$2,203,455,145","","CHFRB","$2,419,238,952","","CHFRB","$2,499,956,595","","CHFRB","$2,333,639,691","","CHFRB","$2,455,833,724","","CHFRB","$2,075,947,802","","CHFRB","$1,831,522,849","","CHFRB","$1,878,375,252","","CHFRB","$1,423,039,057","","CHFRB","$863,551,254","","CHFRB","$801,888,247","","CHFRB","$779,969,505","","CHFRB","$868,357,355","","CHFRB","$864,284,273","","CHFRB","$1,020,856,659","","CHFRB","$1,057,883,656","","CHFRB","$1,197,496,317","","CHFRB","$1,155,661,494","","CHFRB","$1,187,485,374","","CHFRB","$1,185,088,756","","CHFRB","$1,287,482,227","","CHFRB","$1,100,275,943","","CHFRB","$1,216,676,358","","CHFRB","$1,175,229,996","","CHFRB","$1,265,803,472","","CHFRB","$1,186,143,299","","CHFRB","$1,228,182,790","","CHFRB","$1,263,478,555","","CHFRB","$1,445,483,879"
"Securities","","SC","$5,585,105,117","","SC","$5,563,717,849","","SC","$5,457,854,694","","SC","$5,474,623,604","","SC","$5,434,716,420","","SC","$5,303,500,207","","SC","$5,436,071,453","","SC","$5,611,164,811","","SC","$5,883,582,796","","SC","$5,923,640,561","","SC","$6,148,305,475","","SC","$6,260,348,223","","SC","$6,245,863,400","","SC","$5,953,104,370","","SC","$5,728,105,869","","SC","$5,479,257,410","","SC","$5,112,349,671","","SC","$4,792,999,127","","SC","$4,515,764,911","","SC","$4,210,440,732","","SC","$3,981,491,901","","SC","$3,936,032,701","","SC","$3,779,026,613","","SC","$3,724,161,816","","SC","$3,723,095,383","","SC","$3,630,097,651","","SC","$3,633,318,702","","SC","$3,598,893,681","","SC","$3,631,819,916","","SC","$3,615,280,355","","SC","$3,568,971,378","","SC","$3,583,868,498","","SC","$3,559,771,017","","SC","$3,507,738,686","","SC","$3,420,966,822","","SC","$3,384,937,677","","SC","$3,353,556,695","","SC","$3,303,910,735","","SC","$3,278,018,382","","SC","$3,267,344,956"
"U.S. Government Securities","","SCUS","$4,483,966,776","","SCUS","$4,433,454,311","","SCUS","$4,331,129,226","","SCUS","$4,339,673,174","","SCUS","$4,267,595,713","","SCUS","$4,159,184,170","","SCUS","$4,251,388,433","","SCUS","$4,401,519,237","","SCUS","$4,630,865,559","","SCUS","$4,700,677,649","","SCUS","$4,931,052,997","","SCUS","$5,042,176,842","","SCUS","$5,043,672,092","","SCUS","$4,798,629,105","","SCUS","$4,602,114,290","","SCUS","$4,381,858,278","","SCUS","$4,044,003,142","","SCUS","$3,760,828,702","","SCUS","$3,495,149,105","","SCUS","$3,224,766,011","","SCUS","$3,058,356,087","","SCUS","$3,035,186,105","","SCUS","$2,884,284,493","","SCUS","$2,816,173,938","","SCUS","$2,801,803,363","","SCUS","$2,717,760,195","","SCUS","$2,708,160,144","","SCUS","$2,659,064,013","","SCUS","$2,669,181,052","","SCUS","$2,643,232,985","","SCUS","$2,588,316,182","","SCUS","$2,596,830,858","","SCUS","$2,566,555,782","","SCUS","$2,486,565,417","","SCUS","$2,395,408,491","","SCUS","$2,355,556,697","","SCUS","$2,333,283,405","","SCUS","$2,260,714,573","","SCUS","$2,233,199,664","","SCUS","$2,213,360,154"
"U.S. Treasury Securities","","SCUST","$1,492,336,079","","SCUST","$1,422,927,169","","SCUST","$1,382,312,300","","SCUST","$1,389,347,163","","SCUST","$1,309,614,682","","SCUST","$1,247,132,740","","SCUST","$1,247,655,989","","SCUST","$1,326,492,040","","SCUST","$1,434,271,816","","SCUST","$1,456,718,363","","SCUST","$1,510,731,031","","SCUST","$1,481,800,892","","SCUST","$1,443,819,154","","SCUST","$1,268,140,232","","SCUST","$1,168,838,483","","SCUST","$1,077,626,866","","SCUST","$966,878,831","","SCUST","$941,429,536","","SCUST","$831,129,788","","SCUST","$658,108,412","","SCUST","$631,767,294","","SCUST","$623,259,577","","SCUST","$548,966,319","","SCUST","$537,440,265","","SCUST","$548,818,468","","SCUST","$493,838,273","","SCUST","$486,381,304","","SCUST","$481,030,812","","SCUST","$477,271,647","","SCUST","$471,907,240","","SCUST","$464,165,608","","SCUST","$514,060,466","","SCUST","$519,529,549","","SCUST","$471,448,057","","SCUST","$434,494,679","","SCUST","$420,124,806","","SCUST","$422,520,236","","SCUST","$409,519,210","","SCUST","$412,178,239","","SCUST","$408,564,414"
"U.S. Government Obligations (footnote: 1","","SCUSO","$2,991,630,697","","SCUSO","$3,010,527,142","","SCUSO","$2,948,816,926","","SCUSO","$2,950,326,011","","SCUSO","$2,957,981,031","","SCUSO","$2,912,051,430","","SCUSO","$3,003,732,444","","SCUSO","$3,075,027,197","","SCUSO","$3,196,593,743","","SCUSO","$3,243,959,286","","SCUSO","$3,420,321,966","","SCUSO","$3,560,375,950","","SCUSO","$3,599,852,938","","SCUSO","$3,530,488,873","","SCUSO","$3,433,275,807","","SCUSO","$3,304,231,412","","SCUSO","$3,077,124,311","","SCUSO","$2,819,399,166","","SCUSO","$2,664,019,317","","SCUSO","$2,566,657,599","","SCUSO","$2,426,588,793","","SCUSO","$2,411,926,528","","SCUSO","$2,335,318,174","","SCUSO","$2,278,733,673","","SCUSO","$2,252,984,895","","SCUSO","$2,223,921,922","","SCUSO","$2,221,778,840","","SCUSO","$2,178,033,201","","SCUSO","$2,191,909,405","","SCUSO","$2,171,325,745","","SCUSO","$2,124,150,574","","SCUSO","$2,082,770,392","","SCUSO","$2,047,026,233","","SCUSO","$2,015,117,360","","SCUSO","$1,960,913,812","","SCUSO","$1,935,431,891","","SCUSO","$1,910,763,169","","SCUSO","$1,851,195,363","","SCUSO","$1,821,021,425","","SCUSO","$1,804,795,740"
"Non-mortgage Backed: Issued by U.S. Government Agencies or Sponsored (GSEs)","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0","","SCASPNSUM","$0"
