Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Commercial Mortgage Servicing Portfolio,1079633,1216387,1202826,1176152,1038449,1183373,1186396,1195865,1198478,1205342,1208974,1199371,1171131,1133091,1107215,1089908,1077016,1082110,1060509,697000,1046186,999152,990792,983989,291831,929771,908062,891089,869718,1353361,1333667,1321387,837135,1289998,1286879,1285756,1265274,1248410,1231315,1171397,1102407,1096293,1077194,1026601,1057731,1030464,991398,923173,916630,886309,886329,890519,884608,888734,892077,902369,903071,930294,1437000,
    KeyCorp,557633,557387,535826,505152,499449,500373,493396,493865,488478,485342,479974,469371,444131,422091,400215,386908,371016,380110,357509,,347186,317152,310792,300989,291158,270771,256062,246089,238718,224361,218667,218387,218135,213998,213879,214756,211274,209410,203315,201397,191407,179293,179194,174601,177731,199464,172398,109173,107630,98309,97329,96519,99608,102734,107077,115369,117071,119294,,
    Wells Fargo & Co,522000,659000,667000,671000,539000,683000,693000,702000,710000,720000,729000,730000,727000,711000,707000,703000,706000,702000,703000,697000,699000,682000,680000,683000,673,659000,652000,645000,631000,616000,613000,613000,619000,615000,614000,618000,607000,598000,592000,580000,575000,554000,545000,539000,533000,533000,525000,524000,527000,523000,525000,526000,518000,519000,517000,521000,520000,548000,,
    Truist Financial Corp,27845,28241,28964,29075,31681,34179,35076,36245,36622,36263,36759,37397,37960,37437,37626,37089,36670,36410,72522,71391,70404,27951,27683,27749,27761,27323,27586,27472,28441,28122,28999,29289,29333,29146,28455,28245,28163,27909,28039,27805,27599,27739,27697,27878,28095,28049,28461,28910,29520,25982,32778,25800,25400,24985,24408,24371,24100,23757,,
    Wells Fargo & Co,531000,539000,543000,545000,548000,554000,562000,571000,577000,586000,595000,598000,597000,586000,584000,581000,583000,579000,578000,573000,566000,560000,557000,552000,543,529000,518000,510000,495000,480000,475000,474000,479000,477000,478000,485000,478000,470000,465000,461000,456000,440000,429000,424000,419000,416000,409000,404000,408000,405000,406000,407000,398000,401000,402000,406000,408000,439000,,
