Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Residential Mortgage Owned Serviced Portfolio,417837,420681,424603,429955,434669,440179,443847,447893,450182,451086,445541,438427,433516,345227,330052.5,437500,460293,414487,407965,397325,420877,474560,559852,362861,47715,384237,386561,366081,387379,385645,389267,365396,394060,399903,396747,387462,390437,392334,392002,375900.2,453027,375490,388354,384003,376901,382382,395811,408662,410301,402894,394871,386808,423474,383313,369756,377871,431380,395331,1812000,
    Fifth Third Bancorp,110900,112400,113700,115700,117000,118500,119700,120400,120200,120300,118200,114500,106800,14800,21.5,86700,86600,17900,16600,0,17666,99438,187000,0,16046,16100,16300,0,16079,16300,16200,0,15746,15600,15100,14500,14400,14200,13700,13.2,79000,,13200,13300,13500,11600,11600,14700,14800,11700,11700,12500,13500,11900,10800,10600,9000,10000,,
    M&T Bank Corp,149649,151304,151520,151562,155342,155103.107,153700,139500,118400,104000,102500,95000,97900,97100,97100,92500,94400,571,95100,93500,95100,98300,102900,90100,79100,82700,76000,78300,79200,81900,72600,63700,53200,55000,57800,60000,61700,64300,66500,65000,64400,5000,68000,69900,69100,68800,32300,32100,32100,32400,33700,35100,36300,23400,16800,16300,15900,15900,,
    PNC Financial Services Group I,,200000,204000,207000,209000,213000,191000,188000,190000,170000,145000,135000,133000,139000,145000,117000,121000,119000,122000,118000,120000,123000,124000,123000,125000,127000,124000,125000,127000,129000,131000,130000,,126000,126000,125000,123000,122000,115000,113000,108000,111000,111000,114000,114000,115000,116000,120000,119000,119246,116000,121000,118000,121000,125000,127000,125000,131000,15954,
    Truist Financial Corp,218475,221143,208270,210635,213399,214953,222917,214830,217046,218740,209504,195737,196011,198119,178004,179836,188341,198881,209070,219979,219347,87147,85060,86119,87270,88323,88492,88746,89124,89391,90106,90855,90325,90157,89970,90541,91132,90446,89235,89192,90230,89936,88595,88239,87434,84025,80846,76830,73769,72343,71389,70318,67066,66305,65872,64894,61795,60207,,
    US Bancorp,216648,215286,225780,232907,233382,232263,251572,245617,243626,228992,226372,227179,218953,215973,215030,208662,208955,211798,217650,224120,223518,225399,226969,230521,229284,230543,232746,233052,232846,231315,230690,231885,230047,229647,229449,229748,229375,226935,223175,222965,222797,222409,222497,224637,226842,226727,223904,220321,215637,211263,207427,200171,191082,185555,184858,182665,173919,165938,,
    Wells Fargo & Co,488000,500000,515000,536000,560000,592000,637000,668000,681000,688000,699000,705000,718000,741000,771000,804000,859000,920000,992000,1041000,1063000,1086000,1112000,1125000,1164,1184000,1190000,1201000,1209000,1223000,1189000,1204000,1205000,1226000,1250000,1280000,1300000,1324323,1344000,1374000,1405000,1430000,1451000,1470000,1485000,1494000,1487000,1486000,1498000,1508000,1499000,1483000,1456000,1457000,1464000,1453000,1429000,1433000,,
