Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Residential Mortgage Servicing Portfolio,854637,1125232,1131453,1160486,929910,1230521,1286881,1313722,1331182,1340222,1336364,1322400,1329961,1362246,1279128,1400558,1507634,1606868,1687835,1740205,1785958,1630971,1672312,1683880,199307,1709456,1714953,1738027,1748524,1761836,1734173,1735651,1750939,1774660,1796917,1819803,1844569.837,1871018,1878889.922,1845122.4,1953258.013,1974614,2001050.456,2017821,2167043.512,2051391,2055782,2060347,2229257,2071973,2055691,2029136,2177416.8,1994768,1988851,1986617,2163658.8,1980661,10585,
    Fifth Third Bancorp,94225,95808,97280,99596,100842,101889,102817,103399,103154,102696,100519,97736,89234,92700,93,65922,86600,91400,95400,81901,98400,82702,102400,83900,79200,63996,62200,77200,76100,77100,78000,71400,69300,70200,71300,72300,73400,74500,61727,77.4,79000,80300,81300,82200,82700,82800,81700,79500,77300,75900,74800,72900,70600,68400,66800,66000,63200,62400,,
    Truist Financial Corp,273412,275424,263173,265890,269068,271632,280064,272323,274028,275526,262845,246664,246727,248546,224035,228636,239034,253468,265435,276304,279558,116269,117912,117980,118605,119460,118753,117827,118424,118736,120173,121251,121639,122460,122617,121503,122169,122639,121162,121079,122257,116224,122749,121942,112835,110807,107057,103792,101270,99537,97560,94626,91640,88718,86828,86165,83475,80538,,
    Wells Fargo & Co,487000,754000,771000,795000,560000,857000,904000,938000,954000,962000,973000,978000,994000,1021000,1055000,1106000,1182000,1262000,1327000,1382000,1408000,1432000,1452000,1482000,1502,1526000,1534000,1543000,1554000,1566000,1536000,1543000,1560000,1582000,1603000,1626000,1649000,1673000,1696000,1723000,1752000,1777000,1797000,1812000,1829000,1844000,1851000,1860000,1873000,1879000,1863000,1840000,1822000,1814000,1810000,1808000,1809000,1808000,,
