Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
    Credit Agricole SA,371156.0,,329837.0,,301925.0,,291764.0,,249249.0,,263596.0,,237341.0,,261235.0,,261968.0,,267004.0,,230721.0,,246898.0,,225605.0,,233279.0,,321404.0,,334250.0,,326279.0,,378584.0,,348320.0,,279495.0,,405572.0,,258916.0,,281371.0,,484435.0,,330102.0,,498422.0,,447075.0,,,,,,,
    Deutsche Bank AG,139772.0,153664.0,134894.0,136599.0,125275.0,112602.0,108465.0,110901.0,92867.0,108509.0,103953.0,112493.0,102396.0,121016.0,112120.0,109830.0,107929.0,119587.0,116959.0,116812.0,110875.0,138786.0,162608.0,164840.0,152738.0,156295.0,160646.0,173014.0,184661.0,186716.0,188192.0,189926.0,171044.0,176456.0,178559.0,174947.0,196035.0,196998.0,206382.0,212185.0,195681.0,196360.0,210991.0,199842.0,210070.0,219247.0,237051.0,251014.0,254459.0,256278.0,247848.0,258504.0,240924.0,267219.0,289623.0,460564.0,443217.0,274560.0,272874.0,
    Danske Bank A/S,71315.01923,68997.15322,66700.06229,65289.50289,73541.46269,80842.32014,75118.46585,76469.40272,85903.73845,105514.6893,88910.14997,82891.2663,68525.16422,81791.3183,82368.66377,87732.67338,91775.83262,90587.85174,87973.09439,94663.15797,66288.28088,81982.35258,71555.66221,62751.14443,55692.19479,59506.40973,70259.38019,62608.54875,60354.12903,62838.26286,65826.2272,62356.65385,68549.34644,74253.36903,77623.94163,75997.49123,73296.53664,75004.02263,79989.36549,107093.857,44734.5797,100901.3574,93421.88669,94687.76645,59810.82897,94865.27836,96722.81013,111558.2873,54143.21853,124061.6622,116072.3046,116804.4215,122388.4948,122493.9487,86479.70419,84607.23464,,108715.8257,104170.7743,89418.47081
    FinecoBank Banca Fineco SpA,28.539,21.365,21.214,19.456,14.109,21.354,16.868,15.73,16.926,22.285,20.02,20.123,20.24,23.589,21.393,26.233,16.997,13.146,14.591,12.888,7.933,10.592,7.475,9.286,6.876,12.253,10.871,10.368,10.878797,10.538,9.791279,5.708,6.044381,5.547,6.879333,6.996,3.983184,8.613,5.463138,5.609,3.053707,4.707568,10.406679,8.405059,,,,,,,,,,,,,,,,
    HSBC Holdings PLC,304224.5628,313871.5465,309170.3994,298025.767,261351.2292,235572.8871,233913.7205,210165.6086,203615.9089,206260.4699,207335.6863,206469.9513,218550.8519,221565.9839,219638.7881,211941.2766,189766.8712,189690.3259,185861.4249,196549.0839,226441.3572,223704.485,238950.6118,235642.0996,207937.4782,219118.3055,212290.8281,224804.0886,239556.6461,283218.6732,280414.4397,275393.1009,222930.6912,261180.0855,253133.7488,236307.0029,206917.9091,236637.453,253867.121,311578.1133,251399.1736,262603.5316,253547.1147,257909.5266,219879.6142,331645.1112,332642.0607,342330.915,309775.7066,328395.4644,309359.7344,290763.5764,254977.6235,309034.1289,327325.9821,329247.3573,288083.1962,,329444.3991,
    ING Groep NV,72897.0,78114.0,73207.0,68594.0,60229.0,68150.0,62827.0,57343.0,56870.0,71397.0,60733.0,55608.0,51381.0,56007.0,50652.0,50453.0,51356.0,52592.0,53781.0,62071.0,49254.0,57641.0,54212.0,54697.0,50152.0,59825.0,63817.0,62358.0,116748.0,133720.0,135246.0,129332.0,114504.0,136888.0,147110.0,141635.0,131467.0,137090.0,140429.0,153434.0,136959.0,133402.0,126738.0,118688.0,114247.0,121885.0,125562.0,135434.0,116245.0,129561.0,123915.0,119600.0,123688.0,138130.0,127951.0,120224.0,,142432.0,274374.0,
    Intesa Sanpaolo SpA,45706.0,41430.0,37743.0,38096.0,38163.0,41855.0,44053.0,41690.0,42607.0,47689.0,47165.0,48242.0,47181.0,55651.0,55720.0,51160.0,53165.0,57082.0,56272.0,51657.0,45152.0,51596.0,49773.0,44779.0,38806.0,39158.0,39908.0,39680.0,39028.0,41762.0,44415.0,44524.0,43613.0,50232.0,52499.0,54786.0,51597.0,52391.0,51996.0,62257.0,53741.0,55445.0,52071.0,52352.0,49000.0,53337.0,55905.0,61556.0,18577.0,70034.0,66080.0,60328.0,59963.0,69934.0,60555.0,61094.0,,90517.0,,82931.0
    KBC Group NV,10509.0,9771.0,10361.0,9813.0,8327.0,10009.0,9422.0,9341.0,8471.0,12199.0,11001.0,10095.0,8850.0,9018.0,9728.0,9728.0,8695.0,10922.0,10321.0,11574.0,7266.0,8915.0,7460.0,7948.0,6426.0,0.0,7580.0,7869.0,7431.0,8390.0,9055.0,8972.0,9683.0,10448.0,12086.0,12049.0,10385.0,11030.0,11311.0,13954.0,12182.0,13032.0,12717.0,11929.0,16885.0,15770.0,17585.0,20376.0,21159.0,23816.0,23656.0,25068.0,26936.0,30922.0,,29506.0,30287.0,36418.0,,
    Komercni Banka AS,1660.988826,1841.599113,1827.91751,1993.01649,1962.778425,1944.701654,2028.092983,2364.263736,2373.862887,2503.997732,2205.646879,1788.572117,1654.040987,1237.075891,1163.35121,1134.40185,974.7928656,1406.175802,1644.269263,1511.061483,900.7766233,1329.192881,1083.918054,935.9362119,869.2269182,1220.112225,1108.090086,854.3014425,737.753667,777.1441548,974.7429077,890.094417,1099.354063,1215.303624,1239.828354,1150.297549,1080.583328,,,,,,,,,,,,,,,,,,,,,,,
    Mediobanca Banca di Credito Finanziario SpA,15171.8,15362.6,15409.451,12925.5,11132.017,10388.2,9546.212,10028.1,8689.676,9867.3,9530.935,9694.6,12123.172,12217.1,11273.737,11417.7,11559.705,9612.0,8818.59,11559.7,12526.807,12144.4,9765.653,9728.8,9315.399,8403.8,8204.911,8491.7,10105.026,8304.5,7833.903,10235.8,10335.711,9937.2,9505.295,10139.6,13108.229,12697.6,11860.786,14300.0,13626.858,13232.0,12406.967,13671.2,7734.726,14876.3,13047.073,13378.6,7196.806,14693.5,6125.402,13920.4,6414.854,14858.1,,,,,,
    NatWest Group PLC,59174.01904,65453.16559,54236.96417,58809.50412,52545.86162,57257.88675,56944.80564,57322.9401,51478.90449,65748.85495,76205.27597,77005.77964,70323.51396,77195.71143,81752.97493,76995.77872,77037.42249,78003.4994,79717.54496,92488.33415,90646.44536,103258.3188,95404.17114,103171.6686,83606.94848,,,,,,,,,,,,,,,,,,,214807.2398,,250581.1552,207075.2937,282356.2661,276419.2221,297357.7117,,,279643.0662,327256.0054,314893.2685,316031.7474,137707.28,121701.4626,125936.0401,127490.8014
    Raiffeisen Bank International AG,5945.0,6101.0,6570.0,6583.0,5783.0,7023.0,6664.0,6655.0,6411.0,9586.0,7514.0,5212.0,4112.0,3915.0,3872.0,4339.0,4399.75,4222.0,4675.0,4832.0,4182.372,4265.0,3928.0,3805.0,3893.609,4179.0,4534.0,4925.0,4622.036,4740.0,4736.0,5085.0,4986.462,5239.0,5414.0,5744.0,5814.108,6462.0,6912.0,8533.0,7916.624,8271.0,7834.0,7855.0,7581.097,7853.0,7669.0,8564.0,9813.29,9880.0,11244.0,11075.0,10616.671,11109.0,8324.0,7750.0,8068.393,3596.0,3764.0,
    Skandinaviska Enskilda Banken AB,,10806.27984,10501.07187,11523.84837,8347.520526,8313.217547,5892.145269,6583.111672,5969.665242,,,,11734.3246,,,,8186.030937,,,,7475.026288,,,,,,,,,,,,16957.65393,,,,26111.8265,,,,31606.27252,,,,35926.05005,,,,32235.51217,,,,26005.94006,,,,24674.60298,,,
    Societe Generale SA,526048.0,528259.0,530826.0,531406.0,495882.0,490511.0,496362.0,494709.0,427151.0,396846.0,380165.0,419946.0,342714.0,436594.0,440774.0,445009.0,429458.0,435295.0,419147.0,464642.0,385739.0,434042.0,420968.0,406414.0,365550.0,373844.0,382656.0,367600.0,419680.0,490100.0,484746.0,514900.0,514715.0,542300.0,560281.0,534200.0,519600.0,513900.0,527964.0,595900.0,530536.0,514000.0,563826.0,544600.0,479112.0,498400.0,482359.0,479300.0,484026.0,477800.0,472254.0,445900.0,422494.0,475100.0,430974.0,440300.0,455160.0,481800.0,460526.0,
    UBS Group AG,153700.8407,154272.5152,151199.1415,148395.5881,153319.7758,135080.3555,138393.4787,108342.0738,100705.8165,86398.36568,94922.25508,103540.8771,114896.364,108435.7445,103369.0607,102617.8723,102574.2331,92269.23733,87206.26167,82481.0865,113557.7522,106245.9873,105795.4045,97661.52749,91136.91932,104049.4231,96018.66918,85628.29561,119031.7751,110913.3271,107544.0287,117542.8378,104103.0466,113357.4793,120669.2932,126184.3308,137735.9646,142867.865,149722.65,153068.19,134888.1067,129745.555,134370.5852,127914.4379,122700.6943,128865.2254,127522.4407,148960.591,133026.7743,197912.9895,192680.6337,197468.523,197515.0819,213361.432,231832.0889,228962.197,183308.5234,237310.3978,223714.7,
    UniCredit SpA,55083.0,58286.0,55674.0,55472.0,57274.0,62938.0,66942.0,62293.0,64443.0,79136.0,74668.0,76144.0,80109.0,80545.0,78991.0,73925.0,72705.0,73165.0,67236.0,69756.0,63280.0,74871.0,67344.0,67135.0,65231.0,81258.0,83261.559,80324.0,74685.89,81493.0,79529.275,86191.0,,93433.0,105074.558,97239.0,89994.912,90306.0,97625.888,113249.0,101225.546,93026.0,84079.336,79368.0,80700.678,87802.0,93771.944,98593.0,107118.564,112902.0,126174.77,119109.0,130985.409,140008.0,107202.949,106400.0,122551.402,156983.0,152099.809,
