Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
    Mediobanca Banca di Credito Finanziario SpA,,,2814.325,,2468.108,,2876.439,,3083.477,,3320.604,,3908.384,,4004.282,,3811.043,,3279.899,,3194.691,,2774.602,,3346.207,,3563.293,,3563.726,,3249.369,,4328.787,,5144.128,,5311.127,,5698.573,,,,5941.547,,,,,,,,,,,,,,,,,
    NatWest Group PLC,94846.33433,,,,91020.58496,,,,112435.3851,,,,126171.7341,,,,185947.278,,,,177204.9717,,,,148416.552,,,,177600.6508,,,,283479.6852,,,,350775.2371,,,,455.8408264,,,,346047.8696,,,,543865.1607,,,543773.1634,633784.3798,,,,498171.2934,633744.8634,638306.1739,
    Nordea Bank Abp,20651.0,,,,20411.0,,,,29972.0,,,,28139.0,,,,41323.0,,,,36784.0,,,,33915.0,,,,44415.0,,,,67438.0,,,,77594.0,,,,102279.0,,,,69003.0,72427.0,76595.0,,115706.0,147970.0,155552.0,163410.0,169402.0,155133.0,81034.0,81215.0,96099.0,137318.0,120250.0,
    Svenska Handelsbanken AB,4172.230244,3304.183778,3552.777092,4154.276202,4112.036495,6575.757333,7129.032696,6017.961016,6705.362792,9816.381689,7734.878486,4448.139761,2794.16911,2540.581704,2437.985877,2932.645394,2841.122094,3413.339932,3438.807503,5299.334483,2546.282623,4088.34052,946.9750262,1386.293862,767.4971239,2646.167237,1711.544246,1290.253035,1059.667338,1509.196911,1645.865433,1561.313474,2059.969504,1835.836984,3198.259976,5912.162264,3373.772586,,4185.126288,9461.540926,6692.095783,,5122.973029,5152.235418,,,,,9711.500275,,,10300.49662,13184.84073,,7824.507829,8650.846801,9080.35536,12691.19171,12112.62861,
    Swedbank AB,,692.3186632,1044.639208,2568.489179,2060.790472,2560.426627,2854.519004,1566.455018,2588.343007,5910.530301,4604.761162,2409.66614,2951.025879,2716.440074,2446.958123,3648.351101,3689.686221,3566.481852,3493.27193,6077.113645,2906.785343,3846.675786,2720.967334,3150.449737,2863.263873,6003.111925,,,4563.688238,,7800.561843,7683.181849,7399.278567,9813.1699,10663.81305,10625.2439,7390.691999,10617.41296,10338.5029,14973.81837,10590.80314,,,7606.721808,5541.000912,,,,,,,,,,6639.732907,,7237.027647,,8080.476226,7853.968964
    Societe Generale SA,96745.0,,91377.0,,83535.0,,75269.0,,76775.0,,110713.0,,100355.0,,130816.0,,151536.0,,169488.0,,135849.0,,146007.0,,122983.0,,130006.0,,134450.0,,,,,,,,,,,,209779.0,,175884.0,,162072.0,,,,218124.0,,,,,,,,,,,
    UniCredit SpA,29519.0,,28433.0,,29309.0,,33214.0,,39643.0,,41702.0,,40824.0,,39102.0,,45162.0,,43119.0,,34351.0,,35686.0,,32152.0,,35662.673,,34769.334,,39062.72,,,,54247.313,,48140.507,,57673.268,,,,48705.984,,,,59746.889,,,,,,,,,,,,,
-- Consumer Loans,6167713.657089999,3401070.56408,5647324.294760001,2970473.42013,6390128.628240002,3415532.707299999,5654149.53198,2869738.09368,6207291.473309999,3005960.54821,5556639.98112,2543296.70065,6532537.83053,3264362.432589999,5444606.43753,2945272.57617,6159160.49937,3134993.855560001,5504049.058459999,2856972.1117,6161762.073060002,3026747.00162,5259276.102519999,2708111.69006,5563673.14118,2990844.78559,5148464.3546,2569983.712460001,5216617.774479999,2403205.69766,4638019.218910001,2186257.81649,4011405.526175,1923287.8559,3782949.69378,1854338.669284,4539826.648964,1651292.325324,2522451.178788,1446149.179411,3808947.321454,1400321.51066,2870630.563459999,1391661.554437,3170049.263573,1502754.74226,2279613.52744,1500378.31136,2732753.424301,1151627.05195,1624801.09016,1290555.95632,2959486.522619999,1218416.6993,1967038.797,1245031.4407,2831771.61133,935203.8481000001,1890491.1418,180122.25
    ABN AMRO Bank NV,159800.0,158659.0,155403.0,154609.0,154197.0,151318.0,152222.0,152192.0,151659.0,151565.0,153711.0,156271.0,157145.0,157458.0,157288.0,156847.0,156904.0,157971.0,161841.0,159491.0,160519.0,161270.0,163453.0,160277.0,161054.0,162482.0,164870.0,162999.0,165251.0,163825.0,163359.0,163042.0,164867.0,161591.0,164831.0,161400.0,167013.0,167454.0,167896.0,,168588.0,165788.0,167191.0,170396.0,170265.0,172102.0,169157.0,174298.0,170774.0,,,,,,,,,,,
    Banco de Sabadell SA,98022.642,139754.0,139256.0,136442.0,93995.421,137058.0,95529.126,140290.0,96121.272,144346.0,97494.889,143299.0,97189.188,141698.0,95077.389,139323.0,92103.765,135111.0,90232.472,131682.0,94426.471,129809.0,91554.52,128901.0,91446.983,129294.0,93529.936,127003.0,94148.427,127540.0,94662.477,127774.0,97494.961,128772.0,96682.841,95216.0,99946.888,92789.0,95141.017,64984.537,61998.498,66126.0,65670.894,64201.473,65447.626,61035.703,69165.997,58047.186,58800.534,59886.454,66081.093,36129.217,36201.298,36618.386,39974.304,36453.779,37024.132,32942.995,33371.316,
    Banco Santander SA,878730.0,830698.0,886642.0,883060.0,874231.0,883232.0,884240.0,879113.0,878344.0,899669.0,873479.0,864126.0,832327.0,820162.0,816845.0,809318.0,791664.0,727122.0,757683.0,798014.0,804959.0,791141.0,788366.0,787600.0,766847.0,758584.0,757694.0,755092.0,753186.0,693316.0,692749.0,712411.0,705749.0,471267.0,469072.0,482308.0,478925.0,,,,368463.0,,,,346587.0,,,,367486.0,,,,378591.0,,,,360340.036,,,
    Barclays PLC,319216.9596,257562.9252,241213.7486,255085.6539,295766.1444,246539.7374,247536.891,262123.194,253828.7129,255559.1246,255595.0325,,251303.3203,242968.0835,239165.4486,,224400.1071,221113.8168,222877.052,,247697.6572,244299.6799,240711.0137,,228811.4017,236110.2838,234977.9425,,226345.3226,,226875.7957,,235844.8635,,237871.4072,,292924.0153,,313706.2069,,290872.804,,292168.1195,,279013.7771,,276519.9592,,280161.885,,282175.5935,,264866.4356,,245302.4519,,224555.4256,,265096.7011,
    BAWAG Group AG,43489.0,,31007.0,,32071.0,,33037.0,,34449.0,,35874.0,,33596.0,,,,30654.0,,,,,,,,,,,,,,,,,,1193.0,1149.0,,,,,,,,,,,,,,,,,,,,,,,,
    BNP Paribas SA,916560.0,,888804.0,,876213.0,,869971.0,,874508.0,,874320.0,,833594.0,,846594.0,,829656.0,,849521.0,,825740.0,,813292.0,,789016.0,,773679.0,,757917.0,,739148.0,,,,717488.0,,703243.0,,,,681989.0,,643197.0,,,,,,,,,,,,,,,,,
    Banco BPM SpA,,,84949.145,,86610.0,,90270.851,,91559.574,,92207.303,,89179.028,,88940.827,,86822.321,,82066.696,,78707.924,,76506.846,,75819.822,,75106.342,,78094.652,,73713.349,,,,49482.906,,49974.134,50719.672,51440.141,51038.976,50205.669,52322.938,53614.653,54478.825,54559.659,56020.806,56771.414,57324.925,58253.516,58683.571,59829.541,60816.736,61901.679,63028.372,63959.446,63989.58,62395.552,62137.051,62373.406,60677.786
    Banco Bilbao Vizcaya Argentaria SA,384431.0,158697.0,161807.0,161878.0,205562.0,153328.0,151247.0,148659.0,190528.0,146024.0,143125.0,138769.0,175680.0,136628.0,134669.0,133241.0,175024.0,149749.0,153077.0,134336.0,212629.0,160571.0,161249.0,161575.0,159974.0,169594.0,153100.0,137382.0,159780.0,169245.0,169948.0,173167.0,226549.0,171775.0,177350.0,175462.0,225636.0,177935.0,181356.0,160938.0,157477.0,162301.0,167789.0,168460.0,149891.0,,186513.0,192543.0,151243.0,,,,139063.0,,,,135868.0,,,
    Bankinter SA,58857.932,57547.974,57250.588,56068.329,43219.29,54771.262,54846.352,54247.401,42224.109,52797.0,52582.174,51550.818,38963.892,49646.393,49486.347,48806.277,36122.279,47606.36,47523.099,43934.685,35494.807,42673.508,41872.561,39975.973,41587.021,39056.707,38928.253,38337.082,39775.76,37751.453,37672.719,37632.395,39017.903,37370.954,37387.131,32440.959,27057.811,32792.656,31584.697,31436.537,26621.56,31510.721,29983.838,29388.879,26291.586,30071.09,27569.749,27751.512,28511.36,28307.025,28220.676,28363.109,739.562,29241.355,29113.456,29256.573,31223.084,29951.109,29915.382,28794.464
    CaixaBank SA,155207.0,154333.0,153363.0,152828.0,175808.0,153358.0,154981.0,156378.0,183867.0,159008.0,186128.0,157491.0,184751.0,187177.0,192592.0,164322.0,120649.0,121757.0,124153.0,102520.0,124334.0,125216.0,104485.0,104418.0,127046.0,92456.0,104152.0,104017.0,128490.0,129127.0,131293.0,96786.0,86405.0,87483.0,88221.0,88651.0,89378.0,90505.0,91465.0,92741.0,80421.0,84518.0,85493.0,86440.0,84412.0,88832.0,90321.0,91640.0,87720.0,90467.0,68700.0,69136.0,69705.0,69931.0,70032.0,69946.0,70054.0,67543.0,67655.0,67061.0
    Commerzbank AG,,,,,129736.0,,,,129249.0,,,,126781.0,,122093.0,,117906.0,115102.0,112788.0,111303.0,109706.0,107535.0,105455.0,103326.0,100902.0,98652.0,96357.0,94816.0,93476.0,,,,82636.0,,,25325.0,67091.0,28295.0,28087.0,29876.0,64189.0,29360.0,29773.0,30461.0,62740.0,30003.0,39416.0,31409.0,63907.0,33487.0,28549.0,27539.0,68062.0,28662.0,28975.0,21303.0,,24890.0,27785.0,23589.0
    Credit Agricole SA,504624.0,,484483.0,,476688.0,,473020.0,,457346.0,,445685.0,,433802.0,,405500.0,,380578.0,,387235.0,,367865.0,,359097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Deutsche Bank AG,199812.0,,,,210982.0,,,,214796.0,,,,212436.0,,,,205331.0,,,,196732.0,,,,188494.0,,,,186729.0,,,,187869.0,,,,200006.0,,,,197979.0,,,,193516.0,,,,180974.0,,,,174188.0,,,,167350.0,,,
    DNB Bank ASA,82416.97969,82479.42948,84194.16384,82371.51526,86860.07151,86135.60844,83141.92947,85501.89191,91790.19008,89974.96029,91725.49811,96140.50444,85563.01344,84384.73446,82850.12559,82851.62632,78460.38892,74306.07886,73813.55375,69055.61119,79386.39888,78796.29607,79923.90429,79251.05596,76736.75779,79830.31678,78545.9603,76104.15051,80934.2505,,,,82886.46764,,,,77532.86659,,,,78355.50865,,,,,,,,,,,,,,,,,,,
    Erste Group Bank AG,,1129.0,1082.0,1034.571,1038.0,949.314,96446.0,870.426,839.3,93299.0,92128.0,91109.0,808.0,86492.0,84634.0,82447.0,687.0,80451.0,77774.0,78200.0,79146.0,77791.0,76465.0,75122.0,74623.0,73475.0,71734.0,70517.0,70169.0,68945.0,67906.0,66649.0,65909.0,65272.0,64227.0,,63148.0,,,,,,,,,56042.0,55356.0,54478.0,54223.0,54499.0,54318.0,54778.0,54876.0,55264.0,55166.0,54201.0,53977.0,54053.0,53605.0,
    FinecoBank Banca Fineco SpA,,,5217.213,,5531.551,,5740.839,,5913.031,,5731.442,,5413.22,,4653.273,,4004.412,,3761.114,,3258.586,,2881.9,,2625.711,,2244.216,,1790.853,,1175.597,,804.955235,,669.108,,611.833794,,522.119,,477.288,419.172,409.401,385.819,,,,,,,,,,,,,,,,
    HSBC Holdings PLC,432143.2022,,416623.7402,,404484.8156,,415320.5715,,387341.9849,,442259.8493,,420109.7839,407983.7525,407162.6298,396119.1489,376939.8773,385685.8898,375508.3163,380103.9103,386740.5824,380898.8352,364777.7093,360749.4876,344338.9801,332329.0856,327932.6882,314981.7474,313160.0399,311087.0118,310978.7085,319950.4534,322175.0261,316887.2462,324856.859,324655.127,344268.36,335101.9496,345467.5872,356417.7852,325251.2397,319030.0103,303690.2849,297560.2672,297866.4153,301365.7527,303351.7878,309238.6302,314535.8794,317490.6803,316814.4811,301299.1299,303722.9938,294285.077,302791.1785,304553.2065,318210.3846,,334545.1579,
    ING Groep NV,382013.0,,368306.0,,361167.0,,351811.0,,349644.0,,352237.0,,394238.0,,387085.0,,384131.0,,381905.0,,380512.0,,372368.0,,364789.0,,356581.0,,349821.0,,344033.0,,341728.0,,322196.0,,331300.0,319508.0,317452.0,319995.0,320393.0,317719.0,318336.0,315280.0,334051.0,325476.0,330044.0,332553.0,,339028.0,,349377.0,367329.0,347102.0,339981.0,378620.0,370245.0,367947.0,366826.0,
    Intesa Sanpaolo SpA,,237982.0,239877.0,242666.0,250152.0,251796.0,256167.0,263503.0,268751.0,269662.0,270994.0,268788.0,272667.0,272484.0,271774.0,274220.0,269275.0,284475.0,211127.0,200369.0,197095.0,197361.0,195609.0,197709.0,198748.0,195841.0,196141.0,196571.0,195245.0,191880.0,188906.0,,204576.0,,,,203034.0,,,,,,,,,,,,,,,,,,,,,,,
    Jyske Bank A/S,,52289.09258,51225.08463,,,49155.03762,49377.3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    KBC Group NV,86953.0,85332.0,85652.0,84290.0,84538.0,83920.0,84161.0,83548.0,82505.0,80963.0,78533.0,77027.0,75046.0,73423.0,82327.0,80027.0,79003.0,75768.0,74824.0,73624.0,74979.0,73687.0,73537.0,69963.0,69483.0,69122.0,69507.0,68570.0,68444.0,66836.0,66277.0,64206.0,64036.0,63457.0,62953.0,61797.0,61707.0,61086.0,60450.0,59399.0,59184.0,58219.0,58303.0,55382.0,55510.0,58355.0,57583.0,57262.0,57173.0,56938.0,56309.0,57192.0,61300.0,60933.0,60678.0,59444.0,65591.0,64914.0,64035.0,
    Komercni Banka AS,16803.6081,16645.16172,17201.14687,16262.40591,17100.03473,16460.56464,17377.44466,16710.08392,16776.46113,15685.83422,16116.5909,15431.57291,15642.43069,14348.73933,14594.23504,13532.05895,13680.304,12680.6034,12965.75411,12021.92689,13453.99398,12434.28495,13120.28176,12183.78501,12623.6276,12071.56243,12228.69751,11964.79625,11465.19554,11357.16536,10862.96733,10558.56044,11320.80467,10143.25761,10738.5765,9501.397124,10460.87413,9029.711604,9919.062698,8439.645741,9424.490554,,9302.61893,7967.631077,9276.397353,,,,9721.472601,,,,,,,,,,,
    Lloyds Banking Group PLC,437925.4829,414637.2985,,,405618.6143,391832.4472,,,398262.636,,,,411741.6898,,,,374204.8969,,,,390172.4435,,,,452334.9719,,443807.4266,,439207.1429,,440678.6254,,443848.8082,,448522.6251,,514037.0692,,526469.5598,,520281.7821,,507732.0212,,487779.7369,,478496.2222,,512970.0386,,524090.6798,,531525.5011,,506782.6343,,530158.1557,,566947.1788,
    Mediobanca Banca di Credito Finanziario SpA,45349.3,44362.4,40140.69,43791.6,39793.906,42722.8,40932.683,44443.8,42017.57,43664.1,40637.92,42819.1,39230.392,41061.0,38009.318,39986.0,37870.7,39769.7,38040.108,40257.2,36991.44,38215.1,35529.212,24000.0,33764.151,35802.7,32667.261,22400.0,31540.767,32723.2,30385.257,20200.0,30418.713,32246.5,27575.806,17600.0,28144.955,16700.0,28426.674,,27649.039,,26595.769,,28330.089,,28345.609,,28545.517,,30347.234,,30883.422,,,,,,,
    Nordea Bank Abp,151237.0,143294.0,143533.0,141629.0,145555.0,143574.0,140950.0,143970.0,147233.0,148486.0,148893.0,,148995.0,147847.0,183000.0,142785.0,175556.0,134613.0,167000.0,160000.0,167165.0,165000.0,165000.0,163000.0,157029.0,161000.0,156000.0,156000.0,158584.0,162000.0,163000.0,161000.0,161100.0,159000.0,162000.0,161000.0,158151.0,155000.0,158000.0,157000.0,,,,,,,,,,,,,,,,,,,,
    Raiffeisen Bank International AG,39594.0,40980.0,41108.0,40500.0,40799.0,41030.0,41684.0,42051.0,42063.0,43341.0,42824.0,39508.0,39184.0,39821.0,37175.0,35947.0,35528.065,34825.0,35088.0,34719.0,35681.906,34942.0,34042.0,32911.0,32119.729,31946.0,31237.0,31831.0,30215.096,30714.0,30676.0,30375.0,23392.811,22815.0,22411.0,22040.0,21878.405,22259.0,22828.0,23144.0,22316.947,23705.0,23730.0,23346.0,23755.815,24072.0,23708.0,23506.0,23489.033,23446.0,23366.0,19061.0,19004.397,19008.0,19031.0,18464.0,18548.815,18209.0,18336.0,
    Skandinaviska Enskilda Banken AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Svenska Handelsbanken AB,102295.4791,103053.2266,102563.6003,100878.6096,103710.0661,103049.0028,99274.38458,103166.6208,104484.1121,106961.5886,108384.6417,110611.6107,110006.7421,120717.1104,119139.4903,116770.1839,116469.582,111414.6059,111217.794,106046.8211,109816.653,106914.2132,107496.3407,107633.7596,107975.0634,106453.0321,104607.5716,104325.7988,105828.2245,106523.4223,104688.5569,104054.704,102533.0987,100729.2936,101160.4806,100350.6818,99320.09029,,,,90322.73787,,,,88988.15639,,,,86616.04575,,,,,,,,,,,
    Swedbank AB,,100391.7837,99812.26502,98280.88576,106046.6551,102441.3337,80614.01277,99841.59335,105657.8038,108089.772,83741.02421,110537.3722,110243.6794,110126.5724,108689.8808,106174.5364,107590.1672,102886.2115,102230.8768,97261.50802,100325.0974,98192.0843,99023.83974,99515.62889,101347.7788,99120.67908,97012.18748,97072.1375,99806.42583,100335.4452,99109.42061,98451.70365,97303.35133,94478.60449,95547.89698,95442.50436,94676.13266,92117.33612,92240.11419,90738.69847,88095.14728,89302.66936,87650.96393,87913.66016,87728.99703,88486.11296,87294.78924,90327.05816,88258.53205,89394.32165,85999.79176,76088.70322,83244.97692,,,,73496.03138,,,
    Societe Generale SA,20383.0,,20109.0,,21629.0,,23366.0,,29244.0,,32242.0,,465178.0,,20937.0,,417970.0,,405101.0,,407348.0,,376484.0,,375982.0,,363413.0,,364096.0,,354236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Standard Chartered PLC,106678.9062,,103129.8992,,103154.3745,,107753.2515,,112247.2225,,117179.2426,,109364.1314,,103640.8136,,97129.65235,,100690.2072,,101107.8458,,96504.97403,,96205.02969,,96738.88841,,92978.70571,,95684.74547,,100397.2694,,100512.0564,,,,,,,,,,,,,,,,,,,,,,,,,
    UBS Group AG,323061.1653,321243.2723,318687.0101,318797.8497,333038.684,322861.5995,320709.837,193129.0827,191610.4939,196865.1685,186907.3738,179817.7224,134817.3195,129936.047,126118.6598,122555.7447,122480.9816,122586.5893,123596.0153,124032.4492,119607.2669,,,,111652.1132,107624.4188,,,120138.912,,,,132542.4934,,,,130361.214,,,,118391.6103,,,,112112.1852,,,,109389.6109,,,,103386.1842,,,,98136.53305,,,
    UniCredit SpA,222109.0,,224684.0,,224833.0,,232421.0,,232431.0,,235904.0,,227542.0,,224565.0,,220365.0,,220409.0,,220164.0,,220471.0,,220297.0,,215671.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Commercial Loans,2128197.88132,1387854.05904,2240600.06917,1328039.61007,2224986.94061,1388730.18367,2059898.04493,1367700.41504,2459838.51583,1330434.55915,2215933.15649,933613.27653,2375630.19464,1614642.91438,2012635.1628,1434400.8977,2212599.98685,1702427.44985,2068552.53943,1662757.88477,2231191.12254,1754413.85879,2003858.16598,1542721.16343,2233650.88519,1670944.87819,1956550.27579,1431565.82447,2190657.40128,1329609.60429,2121855.56622,1346338.68859,2069092.49012,1290752.78411,1901717.4877,1265526.89429,2159258.292762,1316538.1888,1592258.459864,1254524.23938,2073590.238027,1101450.81181,1324409.56032,1025986.091319,2183745.542898,1193540.24821,1463649.54518,1150842.70744,1932475.291408,905342.45244,1118746.96485,1171060.40106,2409755.52679,1148032.1792,1472395.1404,1065567.1007,2285353.81063,747540.2225,1219871.9674,29047.432
    ABN AMRO Bank NV,90346.0,102439.0,97610.0,99434.0,93340.0,97892.0,98152.0,99086.0,94295.0,111601.0,108321.0,104861.0,101570.0,96390.0,88958.0,94124.0,94884.0,102841.0,99519.0,118264.0,106666.0,112349.0,107702.0,115148.0,108907.0,113820.0,109857.0,105565.0,103138.0,99107.0,100255.0,102362.0,99031.0,81048.0,101915.0,92952.0,107359.0,91558.0,95128.0,,91305.0,81262.0,86017.0,81684.0,88917.0,83540.0,85357.0,115528.0,85592.0,,,,,,,,,,,
    AIB Group PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Banco de Sabadell SA,8356.196,7221.0,8031.0,6812.0,7465.119,6829.0,7002.253,6739.0,7489.183,6760.0,6744.657,5992.0,6049.554,5200.0,5439.362,5104.0,4991.095,4312.0,4625.381,5972.0,6443.041,5447.0,5945.293,5781.0,6185.828,5805.0,6148.309,5644.0,5801.602,5719.0,5560.24,5150.0,5530.045,4827.0,5506.746,5000.0,5665.062,4994.0,2662.725,4763.188,2269.941,4407.0,2206.626,4132.717,2283.894,3970.289,2317.644,4104.056,2179.432,4399.523,2419.757,4961.969,2479.422,4894.884,2436.227,5053.064,2839.019,4280.959,2037.778,
    Banco Santander SA,93329.0,90374.0,93488.0,89745.0,94351.0,87317.0,90427.0,91861.0,96521.0,94934.0,96310.0,90354.0,88106.0,80399.0,80583.0,74936.0,73710.0,64205.0,65755.0,69979.0,73541.0,68359.0,68809.0,66010.0,64059.0,59802.0,60105.0,56972.0,57798.0,49541.0,49415.0,48357.0,49080.0,23527.0,25143.0,22658.0,81817.0,,,,328138.0,,,,287933.0,,,,311750.0,,,,333199.0,,,,330301.89,,,
    Barclays PLC,146069.113,150923.9758,152122.8046,149948.6199,126494.8959,151192.6226,143727.604,202854.1573,145669.5885,214763.525,204192.1322,,128606.2748,167687.2287,166773.9725,,113106.2119,158230.7924,167895.4863,,111604.5602,152239.092,145814.2403,,108306.4972,140634.3992,135509.3968,,165270.2096,,138376.2615,,199610.4684,,169486.0287,,222170.7127,,176678.8981,,234518.516,,157791.8716,,213666.4395,,241333.4944,,209350.3587,,244596.3103,,216820.8461,,203088.6517,,268666.5476,,284403.2071,
    Banco Bilbao Vizcaya Argentaria SA,,191511.0,192431.0,188902.0,148178.0,182766.0,177881.0,177168.0,144790.0,180539.0,169689.0,160785.0,124204.0,145826.0,145427.0,144516.0,118410.0,176359.0,191199.0,152154.0,146383.0,173410.0,171053.0,175678.0,170872.0,167771.0,171818.0,165398.0,175168.0,184199.0,186203.0,189699.0,14877.0,227481.0,231706.0,228227.0,13434.0,222613.0,186036.0,191148.0,118207.0,174800.0,161858.0,156233.0,121316.0,,156491.0,158640.0,134605.0,,,,148795.0,,,,150239.0,,,
    Bank of Ireland Group PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Bankinter SA,3589.136,3228.177,3530.084,3169.576,3434.865,3115.544,3358.345,3138.443,3757.316,3118.24,3440.782,2961.969,3004.677,2461.669,2654.814,2285.928,2540.245,2203.2,2231.502,2772.363,3071.06,2608.951,2982.458,2557.469,2634.354,2168.222,2300.0,2081.14,2370.75,1992.428,2053.711,1765.321,1963.758,1557.453,1691.333,1542.653,1793.057,1674.95,3147.799,3068.48,2016.997,1912.75,3431.583,2985.622,2052.599,1855.229,2030.492,2068.497,2177.584,1965.916,2875.871,2635.39,31537.586,2622.794,2643.182,2598.488,1930.582,2565.349,2591.164,1976.432
    CaixaBank SA,167513.0,162377.0,163763.0,161779.0,160018.0,159370.0,160971.0,159538.0,156693.0,157129.0,154513.0,148575.0,147419.0,144642.0,146336.0,149359.0,106425.0,107351.0,105870.0,94119.0,91308.0,89749.0,89074.0,87248.0,85817.0,83872.0,83022.0,82296.0,83463.0,83034.0,83424.0,83324.0,72837.0,71824.0,71235.0,69969.0,69681.0,70092.0,70607.0,72843.0,70862.0,68318.0,71506.0,74938.0,78647.0,83287.0,85910.0,90225.0,88975.0,94171.0,78134.0,76693.0,77919.0,78407.0,80808.0,25592.0,81124.0,78022.0,78699.0,27071.0
    Commerzbank AG,,,,,92508.0,,,,94269.0,,,,92597.0,,89749.0,,88195.0,131876.0,102592.0,119217.0,97431.0,137837.0,101335.0,97305.0,92090.0,92540.0,91307.0,88539.0,90468.0,,,,97590.0,,,,61369.0,,,,67235.0,,,,70217.0,,,,87532.0,,,,201935.0,,,,,,,
    Deutsche Bank AG,279326.0,,,,26458.0,,,,187960.0,,,,258729.0,,,,235892.0,,,,251720.0,,,,240009.0,,,,141892.0,,,,138761.0,,,,161152.0,,,,118118.0,,,,110958.0,,,,128762.0,,,,135662.0,,,,141416.0,,,
    DNB Bank ASA,101625.0513,87778.48318,85724.53735,83900.04878,85661.94918,86167.8696,83849.38317,84955.73594,87788.22929,82661.97042,90299.9809,86272.80403,83876.49987,81226.02732,80053.6341,80463.40899,77839.07555,76257.78382,78077.65817,77337.6283,76411.53882,76591.14741,82905.27551,82151.86839,76998.11809,68086.49122,75145.13823,72514.21303,72582.33257,,,,80142.30351,,,,80951.24053,,,,79160.64288,,,,,,,,,,,,,,,,,,,
    Danske Bank A/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    FinecoBank Banca Fineco SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    HSBC Holdings PLC,396834.4768,,467044.6062,,386528.3803,,404156.4389,,423118.2896,,486087.9519,,451026.6995,444086.9415,439025.2342,445900.4255,431155.8282,454565.7738,480572.8009,577572.6916,481342.0607,493461.4326,481052.0292,483823.1887,466797.9392,464277.596,461575.7472,439734.7286,494066.711,496038.2953,501606.0633,505986.7253,502091.59,475537.0502,484778.2895,491975.2219,515301.859,502336.7913,518627.2752,543903.8031,488738.843,504145.2213,469641.344,444158.4374,494599.3183,459881.753,451340.2537,447622.2794,450671.3647,469499.8447,463802.071,429216.1716,431354.1667,432058.1456,421506.5472,407631.4306,409424.6596,,407233.4176,
    ING Groep NV,285393.0,,276394.0,,272472.0,,276556.0,,279169.0,,277335.0,,190930.0,,181453.0,,173121.0,,194511.0,,189878.0,,195801.0,,187000.0,,190443.0,,178669.0,,178007.0,,176205.0,,183186.0,,316231.0,162224.0,173463.0,168395.0,151031.0,156925.0,150168.0,148485.0,143772.0,144208.0,149397.0,154014.0,,153301.0,,154779.0,152560.0,152903.0,151294.0,152279.0,154509.0,156745.0,162295.0,
    Jyske Bank A/S,22897.38421,22258.85564,22178.10596,,,22782.11039,23156.10433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Komercni Banka AS,16871.09247,16605.4926,15239.81813,16448.60729,15800.43922,16702.63177,15331.704,16927.48552,14918.37425,16336.69871,13874.37116,15304.64832,12865.39308,14238.30373,12081.75716,13083.79992,11719.4853,12902.35689,11703.83815,12420.58525,11493.39687,12918.93903,11636.24153,12497.48068,11176.53518,12358.61115,11278.97197,12221.21291,11218.50757,11884.42109,11570.00401,11446.76742,10593.15654,11753.00481,10212.63799,10702.93567,9693.496392,10533.43801,8931.795724,10057.21428,9018.230177,,8589.90286,9519.625059,8684.922688,,,,8959.080758,,,,,,,,,,,
