Date,^FVX,^IRX,^TNX,^TYX
2020-04-02,0.386000007390976,0.06499999761581421,0.6269999742507935,1.269999980926514
2020-04-03,0.367000013589859,0.05799999833106995,0.5870000123977661,1.21399998664856
2020-04-06,0.4440000057220459,0.05999999865889549,0.6759999990463257,1.284000039100647
2020-04-07,0.4830000102519989,0.1280000060796738,0.7360000014305115,1.332000017166138
2020-04-08,0.4670000076293945,0.1850000023841858,0.7639999985694885,1.363999962806702
2020-04-09,0.4110000133514404,0.2099999934434891,0.7289999723434448,1.353000044822693
2020-04-13,0.4300000071525574,0.2000000029802322,0.7490000128746033,1.391000032424927
2020-04-14,0.4189999997615814,0.1650000065565109,0.7519999742507935,1.411999940872192
2020-04-15,0.3389999866485596,0.1150000020861626,0.6380000114440918,1.274999976158142
2020-04-16,0.3409999907016754,0.1099999994039536,0.609000027179718,1.210000038146973
2020-04-17,0.363999992609024,0.1030000001192093,0.6539999842643738,1.276000022888184
2020-04-20,0.3519999980926514,0.07000000029802322,0.6259999871253967,1.236999988555908
2020-04-21,0.3339999914169312,0.09799999743700027,0.5709999799728394,1.161999940872192
2020-04-22,0.363999992609024,0.09300000220537186,0.6190000176429749,1.220000028610229
2020-04-23,0.3689999878406525,0.09300000220537186,0.6129999756813049,1.203999996185303
2020-04-24,0.363999992609024,0.1000000014901161,0.5960000157356262,1.177000045776367
2020-04-27,0.4009999930858612,0.09300000220537186,0.656000018119812,1.251000046730042
2020-04-28,0.3689999878406525,0.08500000089406967,0.6100000143051147,1.205999970436096
2020-04-29,0.3619999885559082,0.09000000357627869,0.6269999742507935,1.245000004768372
2020-04-30,0.3449999988079071,0.09000000357627869,0.621999979019165,1.266000032424927
2020-05-01,0.3689999878406525,0.09300000220537186,0.6420000195503235,1.277999997138977
2020-05-04,0.3580000102519989,0.09000000357627869,0.6370000243186951,1.297000050544739
2020-05-05,0.3689999878406525,0.1099999994039536,0.6570000052452087,1.330000042915344
2020-05-06,0.3770000040531158,0.1080000028014183,0.7110000252723694,1.414999961853027
2020-05-07,0.2960000038146973,0.0949999988079071,0.6309999823570251,1.322000026702881
2020-05-08,0.3260000050067902,0.0949999988079071,0.6819999814033508,1.386000037193298
2020-05-11,0.3580000102519989,0.1049999967217445,0.7260000109672546,1.445000052452087
2020-05-12,0.3350000083446503,0.1230000033974648,0.6779999732971191,1.38100004196167
2020-05-13,0.3149999976158142,0.1150000020861626,0.6489999890327454,1.340999960899353
2020-05-14,0.300000011920929,0.1049999967217445,0.6190000176429749,1.296000003814697
2020-05-15,0.3079999983310699,0.1030000001192093,0.6399999856948853,1.319000005722046
2020-05-18,0.3779999911785126,0.1049999967217445,0.7440000176429749,1.45799994468689
2020-05-19,0.3479999899864197,0.1180000007152557,0.7110000252723694,1.434999942779541
2020-05-20,0.3300000131130219,0.1180000007152557,0.6800000071525574,1.39900004863739
2020-05-21,0.3400000035762787,0.1099999994039536,0.6769999861717224,1.39900004863739
2020-05-22,0.3330000042915344,0.1099999994039536,0.6570000052452087,1.371000051498413
2020-05-26,0.3510000109672546,0.1180000007152557,0.6980000138282776,1.439000010490417
2020-05-27,0.3429999947547913,0.135000005364418,0.6800000071525574,1.434000015258789
2020-05-28,0.3459999859333038,0.1379999965429306,0.7049999833106995,1.473999977111816
2020-05-29,0.3039999902248383,0.1280000060796738,0.6480000019073486,1.406999945640564
2020-06-01,0.3019999861717224,0.1280000060796738,0.6620000004768372,1.455000042915344
2020-06-02,0.3199999928474426,0.1449999958276749,0.6800000071525574,1.478999972343445
2020-06-03,0.3770000040531158,0.1480000019073486,0.7609999775886536,1.550999999046326
2020-06-04,0.4040000140666962,0.1400000005960464,0.8199999928474426,1.623999953269958
2020-06-05,0.4760000109672546,0.1449999958276749,0.9039999842643738,1.677999973297119
2020-06-08,0.4539999961853027,0.1529999971389771,0.8840000033378601,1.659999966621399
2020-06-09,0.4059999883174896,0.1650000065565109,0.8289999961853027,1.58299994468689
2020-06-10,0.3370000123977661,0.1650000065565109,0.7480000257492065,1.519999980926514
2020-06-11,0.3019999861717224,0.1529999971389771,0.652999997138977,1.401000022888184
2020-06-12,0.328000009059906,0.1500000059604645,0.6990000009536743,1.450000047683716
2020-06-15,0.328000009059906,0.1550000011920929,0.7020000219345093,1.447999954223633
2020-06-16,0.3499999940395355,0.1599999964237213,0.7559999823570251,1.539000034332275
2020-06-17,0.3389999866485596,0.1650000065565109,0.7329999804496765,1.52400004863739
2020-06-18,0.328000009059906,0.1400000005960464,0.6940000057220459,1.460999965667725
2020-06-19,0.3269999921321869,0.1430000066757202,0.6970000267028809,1.470000028610229
2020-06-22,0.3350000083446503,0.1400000005960464,0.7039999961853027,1.460999965667725
2020-06-23,0.324999988079071,0.1400000005960464,0.7089999914169312,1.488999962806702
2020-06-24,0.3160000145435333,0.135000005364418,0.6840000152587891,1.445000052452087
2020-06-25,0.3269999921321869,0.1299999952316284,0.6740000247955322,1.417999982833862
2020-06-26,0.2989999949932098,0.1330000013113022,0.6359999775886536,1.371999979019165
2020-06-29,0.2820000052452087,0.125,0.6359999775886536,1.391000032424927
2020-06-30,0.289000004529953,0.135000005364418,0.652999997138977,1.409000039100647
2020-07-01,0.3129999935626984,0.1299999952316284,0.6819999814033508,1.432999968528748
2020-07-02,0.2939999997615814,0.1330000013113022,0.6690000295639038,1.429000020027161
2020-07-06,0.3070000112056732,0.1280000060796738,0.6840000152587891,1.442999958992004
2020-07-07,0.2930000126361847,0.1400000005960464,0.6499999761581421,1.389999985694885
